_id,isPb,wpm,acc,rawWpm,consistency,charStats,mode,mode2,quoteLength,restartCount,testDuration,afkDuration,incompleteTestSeconds,punctuation,numbers,language,funbox,difficulty,lazyMode,blindMode,bailedOut,tags,timestamp
680b8436571a92858c95d647,,41.58,91.04,53.58,65.45,52;4;0;1,time,15,-1,0,15.01,0,0,true,true,english,none,normal,false,false,false,,1745585206000
680b8424571a92858c95d54e,,52.76,95.06,64.75,73.99,66;2;0;0,time,15,-1,0,15.01,0,0,true,true,english,none,normal,false,false,false,,1745585188000
680b8411571a92858c95d447,,60.78,94.57,73.58,77.05,76;2;1;1,time,15,-1,0,15,0,0,true,true,english,none,normal,false,false,false,,1745585169000
6809e2fe571a92858c82dbf6,,46.38,94.2,55.18,62.11,58;2;0;0,time,15,-1,0,15.01,0,0,true,true,english,none,normal,false,false,false,,1745478398000
6809d8d6571a92858c8273a4,,47.16,91.43,55.95,71.08,59;4;0;0,time,15,-1,0,15.01,0,0,true,true,english,none,normal,false,false,false,,1745475798000
6809d8c4571a92858c8272f4,,61.54,100,61.54,71.67,77;0;0;0,time,15,-1,0,15.02,0,0,true,true,english,none,normal,false,false,false,,1745475780000
6809d8b0571a92858c827241,,39.16,88.24,54.34,59.86,49;4;1;0,time,15,-1,0,15.02,0,0,true,true,english,none,normal,false,false,false,,1745475760000
6809d898571a92858c82715c,,59.96,97.62,67.15,74.92,75;1;0;0,time,15,-1,0,15.01,0,0,true,true,english,none,normal,false,false,false,,1745475736000
6808913e571a92858c736d75,,43.99,91.78,58.38,68.29,55;3;0;0,time,15,-1,0,15.01,0,0,true,true,english,none,normal,false,false,false,,1745391934000
6808912c571a92858c736cb5,,51.98,93.67,63.17,77.57,65;2;1;0,time,15,-1,0,15.01,0,0,true,true,english,none,normal,false,false,false,,1745391915000
6808911a571a92858c736bef,,49.58,89.33,59.98,73.67,62;6;0;1,time,15,-1,0,15.01,0,0,true,true,english,none,normal,false,false,false,,1745391898000
68089107571a92858c736b14,,63.19,95.45,70.38,75.21,79;2;0;0,time,15,-1,0,15,0,0,true,true,english,none,normal,false,false,false,,1745391879000
68078f85571a92858c678723,,49.57,97.01,53.57,69.56,62;1;0;0,time,15,-1,0,15.01,0,0,true,true,english,none,normal,false,false,false,,1745325957000
68078f72571a92858c678605,,50.39,95.95,59.19,74.94,63;1;0;1,time,15,-1,0,15,0,0,true,true,english,none,normal,false,false,false,,1745325938000
68078f60571a92858c6784f7,,48.8,94.44,57.6,60.35,61;2;0;0,time,15,-1,0,15,0,0,true,true,english,none,normal,false,false,false,,1745325920000
68078f4d571a92858c6783f1,,43.18,90,55.98,64.44,54;3;0;10,time,15,-1,0,15.01,0,0,true,true,english,none,normal,false,false,false,,1745325901000
6801284e435c447d2b719c2d,,57.57,92.41,63.17,85.35,72;4;1;0,time,15,-1,0,15.01,0,0,true,true,english,none,normal,false,false,false,,1744906318000
68012839435c447d2b719abb,,35.2,77.78,50.39,65.02,44;10;0;1,time,15,-1,0,15,0,0,true,true,english,none,normal,false,false,false,,1744906297000
6801282a435c447d2b7199d7,,48.76,95.59,54.36,60.67,61;1;1;0,time,15,-1,0,15.01,0,0,true,true,english,none,normal,false,false,false,,1744906282000
67ff4ff2435c447d2b5bceee,,59.97,98.72,62.37,63.39,75;1;0;0,time,15,-1,0,15.01,0,0,true,true,english,none,normal,false,false,false,,1744785394000
67ff4fe0435c447d2b5bce48,,44.79,90.14,56.78,67.76,56;5;0;0,time,15,-1,0,15,0,0,true,true,english,none,normal,false,false,false,,1744785376000
67ff4fcc435c447d2b5bcd83,,46.39,88.46,62.39,64.07,58;3;2;0,time,15,-1,0,15,0,0,true,true,english,none,normal,false,false,false,,1744785356000
67fd0217435c447d2b40f52d,,36.78,85.92,56.77,73.88,46;3;4;1,time,15,-1,0,15.01,0,0,true,true,english,none,normal,false,false,false,,1744634391000
67fd0206435c447d2b40f442,,60.75,96.3,64.75,76.77,76;2;0;0,time,15,-1,0,15.01,0,0,true,true,english,none,normal,false,false,false,,1744634374000
67fd01f5435c447d2b40f35f,,60,98.75,64,71.23,75;1;0;0,time,15,-1,0,15,0,0,true,true,english,none,normal,false,false,false,,1744634357000
67fd01e3435c447d2b40f280,,51.97,95.77,56.76,61.86,65;2;0;0,time,15,-1,0,15.01,0,0,true,true,english,none,normal,false,false,false,,1744634339000
67fd01d1435c447d2b40f19d,,62.39,96.55,69.59,73.14,78;2;0;0,time,15,-1,0,15,0,0,true,true,english,none,normal,false,false,false,,1744634321000
67fa73cc2c70a16b7ed7ff2e,,59.18,93.75,63.98,76.62,74;3;1;0,time,15,-1,0,15,0,0,true,true,english,none,normal,false,false,false,,1744466892000
67fa73b92c70a16b7ed7fe6a,,47.97,97.01,53.57,64.5,60;1;0;0,time,15,-1,0,15.01,0,0,true,true,english,none,normal,false,false,false,,1744466873000
67fa73a82c70a16b7ed7fd92,,67.98,100,67.98,84.66,85;0;0;0,time,15,-1,0,15,0,0,true,true,english,none,normal,false,false,false,,1744466856000
67fa73972c70a16b7ed7fccf,,62.37,97.59,66.37,82.71,78;1;0;0,time,15,-1,0,15.01,0,0,true,true,english,none,normal,false,false,false,,1744466839000
67fa73852c70a16b7ed7fbf2,,36,83.56,58.4,77.66,45;6;1;1,time,15,-1,0,15,0,0,true,true,english,none,normal,false,false,false,,1744466821000
67fa73732c70a16b7ed7fb2a,,32.78,84.42,61.57,63.83,41;5;1;1,time,15,-1,0,15.01,0,0,true,true,english,none,normal,false,false,false,,1744466803000
67fa735d2c70a16b7ed7fa22,,51.97,96.3,64.76,62.49,65;1;0;1,time,15,-1,0,15.01,0,0,true,true,english,none,normal,false,false,false,,1744466781000
67f530c31b4e1d1a3886765e,,58.4,100,58.4,85.25,73;0;0;0,time,15,-1,0,15,0,0,true,true,english,none,normal,false,false,false,,1744122051000
67f530ae1b4e1d1a38867505,,55.16,96.15,62.35,58.37,69;1;0;1,time,15,-1,0,15.01,0,0,true,true,english,none,normal,false,false,false,,1744122030000
67f5309b1b4e1d1a388673ce,,57.6,96.34,65.6,70.23,72;1;0;3,time,15,-1,0,15,0,0,true,true,english,none,normal,false,false,false,,1744122011000
67e60951ef75c1d9dcfee540,,52.79,94.44,57.59,64.17,66;2;0;0,time,15,-1,0,15,0,0,true,true,english,none,normal,false,false,false,,1743128913000
67ce8bb772da54e642411b5c,,64.8,100,64.8,73.12,81;0;0;0,time,15,-1,0,15,0,0,true,true,english,none,normal,false,false,false,,1741589431000
67ce8ba372da54e642411a9a,,47.96,92.11,60.75,60.24,60;4;0;0,time,15,-1,0,15.01,1,0,true,true,english,none,normal,false,false,false,,1741589411000
67ce8b8f72da54e6424119e0,,24.79,81.67,47.98,53.52,31;6;0;4,time,15,-1,0,15.01,0,0,true,true,english,none,normal,false,false,false,,1741589391000
67ce8b7d72da54e642411930,,71.99,100,71.99,70.82,90;0;0;0,time,15,-1,0,15,0,0,true,true,english,none,normal,false,false,false,,1741589373000
67ce4d6f72da54e6423ee2f2,,41.58,92.19,51.18,67.45,52;3;0;0,time,15,-1,0,15.01,0,0,true,true,english,none,normal,false,false,false,,1741573487000
67ce4d5b72da54e6423ee249,,47.95,95.65,55.14,62.11,60;2;0;1,time,15,-1,0,15.02,0,0,true,true,english,none,normal,false,false,false,,1741573467000
67ce4d4a72da54e6423ee1be,,60.76,100,60.76,73.55,76;0;0;0,time,15,-1,0,15.01,0,0,true,true,english,none,normal,false,false,false,,1741573450000
67ce4d3672da54e6423ee115,,37.59,85.71,50.39,62.92,47;6;0;0,time,15,-1,0,15,1,0,true,true,english,none,normal,false,false,false,,1741573430000
67c82dda72da54e642fbeb10,,55.16,97.22,57.55,60.35,69;1;0;0,time,15,-1,0,15.01,0,0,true,true,english,none,normal,false,false,false,,1741172186000
67c506fe9707b5a8a83da1ae,,33.59,80.6,53.58,66.43,42;9;0;0,time,15,-1,0,15.01,0,0,true,true,english,none,normal,false,false,false,,1740965630000
67a48bf88049ddd215bceb50,,55.18,94.74,60.78,68.21,69;2;0;2,time,15,-1,0,15.01,0,0,true,true,english,none,normal,false,false,false,,1738836984000
